source,target,relation
"和鄂尔多斯盆地等典型地区","鄂尔多斯","包含"
"二氧化","过 多光谱","应用于"
"二氧化","革委生态环","应用于"
"二氧化","东省生","开发者"
"二氧化","今的吉林油田CCUS","开发者"
"二氧化","的吉林油田CC","应用于"
"二氧化","质高","开发者"
"二氧化","内第一台用在CCUS","应用于"
"二氧化","内第一台用在CC","应用于"
"二氧化","第一台","应用于"
"技术方法体系，","技术方法体","位于"
"技术方法体系，","术方法体","包含"
"构建出综合","技术方法体","开发者"
"在构建区","在构建区域级盆地","包含"
"（）集成创","、示","应用于"
"建区","区域","开发者"
"建区","织实","包含"
"上，结合","区域","开发者"
"上，结合","建区域","应用于"
"建区域","织实","合作伙伴"
"构建","建区","包含"
"二氧化碳地质储存技术","技术方法","应用于"
"储存","技术方法","应用于"
"究领域","储存","包含"
"升 了我国二氧化"," 目建","应用于"
"部分项目","部分项目成果已被中国华能集团","投资方"
"项目成","分项目成","应用于"
"项目成","江东部","位于"
"沉积盆地二","项目成","应用于"
"目成果已","成果已","应用于"
"成果已","目成果已","应用于"
"煤层","工学院","开发者"
"煤层","封存和驱煤层气封存已达到部","开发者"
"煤层","早期项目","应用于"
"正式出","分专著","应用于"
"著正","专著正","开发者"
"著正","神华集","开发者"
"专著","专著正","合作伙伴"
"碳捕集","技术方法","应用于"
"碳捕集","等部","开发者"
"碳捕集","水泥窑全氧燃烧耦合低能耗碳捕集工程","应用于"
"碳捕集","张家口张宣科技公司","开发者"
"碳捕集","国内水泥行业规模最大的二氧化碳捕集项目","应用于"
"碳捕集","浙江公司","开发者"
"碳捕集","全球首套空气源碳捕集矿化一体化示范项目","应用于"
"碳捕集","榆林化学有限责任公司","开发者"
"碳捕集","锦界公司","开发者"
"碳捕集","和河南顺成集团","开发者"
"碳捕集","项目","应用于"
"碳捕集","钢铁项目","应用于"
"碳捕集","工业和信息化部","开发者"
"碳捕集","家能源局工业和","开发者"
"碳捕集","资源禀","应用于"
"碳捕集","国家发展改革委教育部","开发者"
"碳捕集","自然资源部","开发者"
"碳捕集","国家发展改革委财政部","开发者"
"碳捕集","推动对加装碳捕集利用与封存设施部","开发者"
"碳捕集","出要构建绿色低碳高质量发展空间格局","开发者"
"碳捕集","发挥中科院","开发者"
"碳捕集","武汉分院","开发者"
"碳捕集","中科院武汉分院、","应用于"
"碳捕集","科院武汉分院、","应用于"
"碳捕集","武汉分院、","开发者"
"碳捕集","院武汉分院、","包含"
"碳捕集","院武汉分院、华","包含"
"碳捕集","的示范工程","应用于"
"碳捕集","加大碳捕集利用与封存和清洁能源融合的工程","应用于"
"碳捕集","国家标准委国家发展改革委工业和信息化部","开发者"
"碳捕集","国家发展改革委工业和信息化部","开发者"
"碳捕集","-Sleipner咸水层封存项目","应用于"
"碳捕集","布局","开发者"
"碳捕集","信息化局","开发者"
"碳捕集","公司","开发者"
"碳捕集","CCUS项目","应用于"
"碳捕集","燃烧后捕集示范项目","应用于"
"碳捕集","中全链类CCUS项目","应用于"
"碳捕集","研究及示范项目","应用于"
"碳捕集","国家能源集团","开发者"
"碳捕集","江苏泰州公司","开发者"
"碳捕集","家能源集团江","应用于"
"碳捕集","能源集团江","应用于"
"碳捕集","能源集团江苏","合作伙伴"
"碳捕集","源集团江苏","开发者"
"碳捕集","该项目","应用于"
"碳捕集","是国内印染行业首个CCUS项目","应用于"
"碳捕集","杭州杭氧膨胀机有限公司","开发者"
"碳捕集","是国内第一台用在CCUS项目","应用于"
"碳捕集","和中国地质调查局","开发者"
"碳捕集","全球碳捕集与封存研究院","开发者"
"碳捕集","这些项目","应用于"
"碳捕集","了工程项目","应用于"
"碳捕集","了工程","应用于"
"碳捕集","管理能源项目","应用于"
"碳捕集","美国的碳捕集项目","应用于"
"碳捕集","为每个项目","应用于"
"碳捕集","与高不确定性又将进一步影响碳源企业部","开发者"
"碳捕集","其优化决策是一个面向长周期的复杂系统工程","应用于"
"碳捕集","这不仅进一步压缩了项目","应用于"
"碳捕集","术的关键科学与工程","应用于"
"碳捕集","重视加强海外组专利布局","开发者"
"碳捕集","知识产权保护格局","开发者"
"碳捕集","加强海外组专","应用于"
"碳捕集","视加强海外组专","开发者"
"碳捕集","强海外组专利布","应用于"
"碳捕集","本报告所描述的碳捕集与封存示范和部","开发者"
"碳捕集","在没有CCS示范与部署的国家计划","应用于"
"碳捕集","在没有CCS示范与部","开发者"
"碳捕集","以及大连理工大学","开发者"
"碳捕集","设试点项目","应用于"
"碳捕集","对第一代碳捕集与封存示范计划","应用于"
"碳捕集","的筛选标准以及降低示范项目","应用于"
"碳捕集","集与封存示范项目","应用于"
"碳捕集","个10万吨规模的项目","应用于"
"碳捕集","录1给出了一份潜在的煤基示范项目","应用于"
"碳捕集","由于大部","开发者"
"碳捕集","十三五计划期间为碳捕集与封存示范项目","应用于"
"碳捕集","十三五计划","应用于"
"碳捕集","和北部","开发者"
"碳捕集","给出了如附录2所示的初步的入围项目","应用于"
"碳捕集","分或全部","开发者"
"碳捕集","源部","开发者"
"碳捕集","和工业和信息化部","开发者"
"碳捕集","这类法规缺失可能导致在碳捕集与封存项目","应用于"
"碳捕集","是高风险项目","应用于"
"碳捕集","存示范项目","应用于"
"碳捕集","的核准条件以便项目","应用于"
"碳捕集","管理部门应该及时公开碳捕集与封存项目","应用于"
"碳捕集","及项目","应用于"
"碳捕集","化工领域发展510个早期CCS项目","应用于"
"碳捕集","先行碳捕集与封存项目","应用于"
"碳捕集","少项目","应用于"
"碳捕集","的税费负担并提高项目","应用于"
"碳捕集","广的碳捕集与封存项目","应用于"
"碳捕集","碳捕集与封存项目","应用于"
"碳捕集","随着碳捕集与封存项目","应用于"
"碳捕集","再继续某一碳捕集与封存示范项目","应用于"
"碳捕集","所有者可能还需要在项目","应用于"
"碳捕集","这可能更好地发挥项目","应用于"
"碳捕集","正在进行的试点项目","应用于"
"碳捕集","的国家一样中国需要为先行项目","应用于"
"碳捕集","在中国迈入第14个五年计划","应用于"
"碳捕集","为同类别中首批推向商业化计划的项目","应用于"
"碳捕集","3燃煤污染物减排国家工程","应用于"
"碳捕集","科学技术部","开发者"
"碳捕集","以油藏工程","应用于"
"碳捕集","设计工程","应用于"
"碳捕集","研发和示范项目","应用于"
"碳捕集","有限责任公司","开发者"
"碳捕集","煤制油分公司","开发者"
"碳捕集","以油田内部","开发者"
"碳捕集","则以来自新疆地区内部","开发者"
"碳捕集","农业与农村发展学院","开发者"
"碳捕集","本研究以全球碳捕集与封存研究院","开发者"
"碳捕集","集群部","开发者"
"碳捕集","环境科学与工程学院","开发者"
"碳捕集","限责任公司","开发者"
"碳捕集","界电厂碳捕集项目","应用于"
"碳捕集","由于该项目","应用于"
"碳捕集","本项目","应用于"
"碳捕集","电厂位于岛内中部","开发者"
"碳捕集","若在岛外建设同样规模碳捕集项目","应用于"
"碳捕集","纳入碳市场减排项目","应用于"
"碳捕集","中国科学院","开发者"
"碳捕集","国家能源局","开发者"
"碳捕集","收到编辑部","开发者"
"碳捕集","/年碳","应用于"
"碳捕集","源集团江苏泰州公司5","包含"
"碳捕集","齐鲁石化-胜利油田百万吨级CCUS项目","应用于"
"碳捕集","根据美国地质调查局","开发者"
"碳捕集","我国二氧化碳捕集技术总体上已在大部","开发者"
"碳捕集","，亟需","开发者"
"碳捕集","来，亟","位于"
"碳捕集","来，亟需","应用于"
"碳捕集","和示范项目","应用于"
"碳捕集","在全球碳捕集与封存研究所","开发者"
"碳捕集","全球碳捕集与封存","应用于"
"碳捕集","碳捕集和封存部","开发者"
"碳捕集","像许多其他正在开","开发者"
"碳捕集","像许多其他正在开展","开发者"
"碳捕集","像许多其他正在开展碳","开发者"
"碳捕集","建议将碳捕集和封存法规与现有的项目","应用于"
"碳捕集","碳捕集和封存法规与现","应用于"
"碳捕集","捕集和运输给石油公司","开发者"
"碳捕集","吉林油","开发者"
"碳捕集","的“","应用于"
"碳捕集","林油","开发者"
"碳捕集","现阶段国内电厂碳捕集项目","应用于"
"碳捕集","家能源","开发者"
"碳捕集","改革委国家能源","合作伙伴"
"碳捕集","源禀赋","开发者"
"碳捕集","能源局工业和","合作伙伴"
"碳捕集","禀赋","应用于"
"碳捕集","化部国家发展改革委教","合作伙伴"
"碳捕集","实施碳捕集利用与封存的项目","应用于"
"碳捕集","开展绿色低碳示范项目","应用于"
"碳捕集","将在加速和部","开发者"
"碳捕集","碳捕集技术的部","开发者"
"碳捕集","参与早期的示范项目","应用于"
"碳捕集","在商业化示范和部","开发者"
"碳捕集","捕集与封存项目","应用于"
"碳捕集","聚焦盆地东部","开发者"
"碳捕集","有限公司","开发者"
"碳捕集","自第十个五年计划","应用于"
"碳捕集","每个碳捕集与封存项目","应用于"
"碳捕集","中国西北和西部","开发者"
"碳捕集","正如研究院","开发者"
"碳捕集","虽然构成碳捕集与封存价值链的每个组成部","开发者"
"碳捕集","这些安排的关键在于对每个公司","开发者"
"碳捕集","工厂的运营方和石油公司","开发者"
"碳捕集","应当加强对项目","应用于"
"碳捕集","超前布局","开发者"
"碳捕集","生态环境部","开发者"
"碳捕集","苏泰州公司5","应用于"
"碳捕集","需要对相关监管部","开发者"
"碳捕集","国内清华大学","开发者"
"碳捕集","碳捕集与封存示范和部","开发者"
"碳捕集","碳捕","应用于"
"碳捕集","支持沿","合作伙伴"
"碳捕集","度 。 ","应用于"
"碳捕集","CCS-EOR项目","应用于"
"碳捕集","基于国家科学技术计划","应用于"
"碳捕集","在选择示范项目","应用于"
"碳捕集","成碳捕集","应用于"
"碳捕集","当地社区参与碳捕集与封存项目","应用于"
"碳捕集","得益于国外在CCUS领域的前瞻性研究布局","开发者"
"碳捕集","
研究及示范项","应用于"
"碳捕集","亚洲最大火电二氧化碳捕集项目","应用于"
"碳捕集","政府应该协助先行项目","应用于"
"碳捕集","该协助先行项目规","包含"
"碳捕集","应该协助先行项目规","应用于"
"碳捕集","所有上述三个组成部","开发者"
"碳捕集","研究结果可为同类型碳捕集项目","应用于"
"碳捕集","我国已投运项目","应用于"
"碳捕集","如果中央政府能够牵头首个项目","应用于"
"碳捕集","如果每个项目","应用于"
"碳捕集","项目群","应用于"
"碳捕集","此举将为碳","开发者"
"碳捕集","为了全面评估燃煤电厂实施全流程碳捕集项目","应用于"
"工程 ","环境","开发者"
"工程 ","而 技术","应用于"
"工程 ","技术","应用于"
"而 技术","技术","应用于"
"而 技术","环境地质","包含"
"技术","技术在","合作伙伴"
"技术","技术的部署仍","合作伙伴"
"技术","集技术的部署仍","应用于"
"技术","技术的部署","开发者"
"技术","0 年","包含"
"技术","技术风","包含"
"技术","术风","包含"
"而 技","技术","位于"
"技术在"," 技术在我","应用于"
" 技术","技术","合作伙伴"
" 技术在","技术在","包含"
" 技术在"," 技术在我","包含"
" 技术在","技术在我","位于"
"工业和信息化部","等八部","合作伙伴"
"工业和信息化部","等七部","合作伙伴"
"等八部","等七部","合作伙伴"
"等八部","部等七","开发者"
"制造业","部等八部","包含"
"和信","信息化部、国家发","包含"
"和信","和信息化部、国","包含"
"见》","业和信息化部、国","应用于"
"业和信息化部、国","《工业和信息化","包含"
"见》《","业和信息化部、国","开发者"
"见》《","和信息化部、国","合作伙伴"
"见》《","和信息化部、国家","包含"
"发展改革委等部门关","内蒙古","开发者"
"发展改革委等部门关","展改革委等部门关","包含"
"发展改革委等部门关 ","内蒙古","应用于"
"发展改革委等部门关 ","发展改革委等部门关","应用于"
"发展改革委等部门关 ","家发展改革委等部门关","应用于"
"展改革委等部门关 ","发展改革委等部门关","应用于"
"东省","北京","包含"
"二氧化碳捕集利用与封存技术","等部","开发者"
"封存","等部","开发者"
"封存","信息化","合作伙伴"
"封存","-Sleipner咸水层封存项目","应用于"
"封存","以及大连理工大学","开发者"
"封存","对第一代碳捕集与封存示范计划","应用于"
"封存","集与封存示范项目","应用于"
"封存","录1给出了一份潜在的煤基示范项目","应用于"
"封存","的核准条件以便项目","应用于"
"封存","面管理计划","应用于"
"封存","碳封存","包含"
"封存","3燃煤污染物减排国家工程","应用于"
"封存","碳封存技术指通过工程","应用于"
"封存","中国科学院","开发者"
"封存","国家能源局","开发者"
"封存","封存和驱煤层气封存已达到部","开发者"
"封存","建议将碳捕集和封存法规与现有的项目","应用于"
"封存","目前我国在部","开发者"
"封存","参与早期的示范项目","应用于"
"封存","自第十个五年计划","应用于"
"封存","和北部","开发者"
"封存"," 些","应用于"
"封存","当地社区参与碳捕集与封存项目","应用于"
"封存","所有上述三个组成部","开发者"
"封存","如果中央政府能够牵头首个项目","应用于"
"封存","如果每个项目","应用于"
"快推","快推广应 用低成本","合作伙伴"
"围绕C","快推广应 用低成本","应用于"
"围绕C","推广应 ","应用于"
"US）相关术语","推广应 用低成本","应用于"
"推广应 用","推广应 用低成本","包含"
"推广应 用","推广应 ","开发者"
"广应 用","广应 ","包含"
"/OL","的全氧燃","合作伙伴"
"/OL","示范项","位于"
"的全氧燃","示范项","包含"
"治区人民政府 3","的全氧燃","包含"
"治区人民政府 3","示范项","包含"
"示范项","目的核准条件以便项","应用于"
"示范项","需要对相关监管部","开发者"
"示范项","需要对相关监管部门的","开发者"
"宁东基","的全氧燃","应用于"
"tps","联水泥","应用于"
"司 建","”示范工程 202","开发者"
"国内水泥行业规模最大的二氧化碳捕集项目","河北","位于"
"主研发","mentrenc","应用于"
"主研发","水泥行业规","应用于"
"主研发","泥行业规","开发者"
"主研发","泥行业规模","开发者"
"主研发","水泥行业规模","开发者"
"主研发","泥行","合作伙伴"
"主研发","水泥行","应用于"
"水泥行","mentrenc","合作伙伴"
"水泥行","泥行业规模","合作伙伴"
"水泥行","泥行","包含"
"泥行业规","水泥行业规","开发者"
"泥行业规","水泥","应用于"
"水泥行业规","泥行业规","合作伙伴"
"水泥行业规","nc","包含"
"水泥","泥行业规模","包含"
"水泥","泥行","包含"
"泥行","水泥行","应用于"
"水泥行业","泥行","包含"
"enc","泥行","开发者"
"球首套空","球首","包含"
"球首套空气源碳捕集矿","球首","合作伙伴"
"球首套空气源碳捕集矿","球首套空","包含"
"州落地","球首套空","应用于"
"州落地","球首","开发者"
"首套空气源碳捕集矿","球首","应用于"
"首套空气源碳捕集矿","首套空气","应用于"
"首套空气源碳捕集矿化","首套","合作伙伴"
"首套","球首","应用于"
"捕集矿化","首套","应用于"
"州落地，实","球首","开发者"
"球首套","球首","合作伙伴"
"套空气源碳捕集矿化","套空气","包含"
"空气源碳捕集矿化","套空气","合作伙伴"
"空气源碳捕集矿化","空气","合作伙伴"
"二氧化碳运输技术","有限公司","开发者"
"运输","有限公司","开发者"
"运输","从技术发展与项目","应用于"
"运输","心部","开发者"
"运输","大部","开发者"
"世顺公司","世顺公司与钢管研究院","合作伙伴"
"同时，中","同时，中油宝
世顺公","位于"
"同时，中","同时","应用于"
"同时，中","油宝
世顺公司","合作伙伴"
"同时，中","时，中油宝
世顺公司","合作伙伴"
"同时","同时，中油宝
世顺公","合作伙伴"
"时，","时，中油宝
","开发者"
"时，","油宝
","包含"
"时，","时，中油宝
世顺公司","开发者"
"时，","中油宝
世顺公司与","合作伙伴"
"时，","油宝
世顺公司与","开发者"
"时，","时，需要","包含"
"体系快"," 公","应用于"
"碳封存","我国东部","开发者"
"碳封存","和冰岛碳封存公司","开发者"
"碳封存","全球碳捕集与封存研究院","开发者"
"碳封存","碳封存委员会预计","合作伙伴"
"碳封存","碳封存技术指通过工程","应用于"
"碳封存","从目前国外典型碳封存项目","应用于"
"碳封存","目前我国在部","开发者"
"碳封存","每年美国有200多个CO2强化驱油项目","应用于"
"碳封存","田二氧化碳开发公司","开发者"
"碳封存","项目","应用于"
"碳封存","武汉分院","开发者"
"碳封存","国家发展改革委工业和信息化部","开发者"
"com","8 中国","应用于"
"氧化碳","线位","应用于"
"氧化碳","地区开展了","合作伙伴"
"氧化碳","地制","应用于"
"氧化碳","原创性、引领性的创","开发者"
"氧化碳","区性","开发者"
"氧化碳","9 月，","开发者"
"氧化碳"," 吨/年二 2","开发者"
" 。","目将","位于"
" 。","的部署","应用于"
" 。","区还集","应用于"
" 。","与封存项目通常需","开发者"
" 。","集与封存项目通常需","开发者"
" 。","与封存项目通常","位于"
" 。","集与封存项目通常","合作伙伴"
"fi","示范工作 。 例","合作伙伴"
"fi","究和示范工作 。 例","开发者"
"fi","如，海南省开","应用于"
"如，海南省开","存二氧化碳的试验","包含"
"存二氧化碳的","如，海南省开","开发者"
"研究和示范","海南省开","包含"
"术研究和示范","南省开","包含"
"术研究和示范","海南省开","合作伙伴"
"03-","13 2025-","位于"
"03-","13 2025-03","包含"
"B/","B/O","包含"
"b72","B/O","应用于"
"b72","3-0","开发者"
"能源集","B/O","应用于"
"/O","B/O","开发者"
"成为全国首批绿色低碳示范项目","内蒙古","位于"
"上海高等研究院","上海高研院","合作伙伴"
"煤烟气","ducn/","应用于"
"项目","中国海油新能源部","投资方"
"项目","项目建成后有望成为吉林省","位于"
"项目","吉林","位于"
"项目","鄂尔多斯","位于"
"项目","北京","位于"
"项目","在国家科技部","投资方"
"由3","由3 个分项目","包含"
"由3 个分项目","3 个分项目","包含"
"0 万","由3 个分项目","开发者"
"3 个分项目构","3 个分项目","应用于"
"我国准噶尔盆地","鄂尔多斯","包含"
"我国准噶尔盆地","内蒙古","包含"
"我国准噶尔盆地","吉林","包含"
"准噶尔盆地、松","内蒙古","包含"
"准噶","尔多斯盆","包含"
"准噶","噶尔盆地、松","应用于"
"国家发展改革委科技部","工业和信息化部","合作伙伴"
"发展改革委科技部工","业和信息化部等","应用于"
"家发展改革委科技部工","业和信息化部等","包含"
"循环耦","业和信息化部等","开发者"
"循环耦","展改革委科技部工","开发者"
"循环耦","和信息化部等《","应用于"
"展改革委科技部工业","展改革委科技部工","包含"
"展改革委科技部工业","和信息化部等《","包含"
"发展改革委科技部工业","展改革委科技部工","开发者"
"发展改革委科技部工业","和信息化部等《","应用于"
"二氧化碳高效低成本捕集的先进技术","二氧化碳资源化利用及固碳示范项目","应用于"
"化碳资源化利","用新工","开发者"
"捕集","用新工","开发者"
"捕集","用新工艺、","应用于"
"捕集","自然资源部","开发者"
"捕集","家能源集团江","应用于"
"捕集","能源集团江","合作伙伴"
"捕集","了工程项目","应用于"
"捕集","了工程","应用于"
"捕集","美国的碳捕集项目","应用于"
"捕集","与高不确定性又将进一步影响碳源企业部","开发者"
"捕集","其优化决策是一个面向长周期的复杂系统工程","应用于"
"捕集","这不仅进一步压缩了项目","应用于"
"捕集","这类法规缺失可能导致在碳捕集与封存项目","应用于"
"捕集","项目","应用于"
"捕集","技术是指通过化学和物理等方法","应用于"
"捕集","我国二氧化碳捕集技术总体上已在大部","开发者"
"捕集","来，亟","应用于"
"捕集","，亟需","位于"
"捕集","，亟","开发者"
"捕集","来，亟需","应用于"
"捕集","亟需","合作伙伴"
"捕集","全球碳捕集与封存","应用于"
"捕集","像许多其他正在开展碳","合作伙伴"
"捕集","开展碳","合作伙伴"
"捕集","现阶段国内电厂碳捕集项目","应用于"
"捕集","化部国家发展改革委教","位于"
"捕集","碳捕集技术的部","开发者"
"捕集","自第十个五年计划","应用于"
"捕集","中国西北和西部","开发者"
"捕集","22个项目","应用于"
"捕集","供在鄂尔","开发者"
"捕集","类法规缺失可","应用于"
"捕集","像许多其他正在开展","应用于"
"捕集","我国已投运项目","应用于"
"捕集","第一代捕集技术是指现阶段已完成工程","应用于"
"用新","用新工","包含"
"用新","用新工艺、","应用于"
"、建材","氧化","开发者"
"、建材","二氧化","应用于"
"、建材","括二氧","应用于"
"、建材等行","氧化","应用于"
"资源禀","家能源局工业和","包含"
"资源禀","源禀","位于"
"资源禀","能源局工业和","包含"
"资源禀","业和","包含"
"资源禀","能源局工业","合作伙伴"
"集利","源禀","合作伙伴"
"集利","部国家发展改革委教育","位于"
"集利","息化部国家发展改革委","开发者"
"集利","监管总局生","开发者"
"捕集利","源禀","开发者"
"捕集利","化部国家发展改革委教","应用于"
"捕集利","部国家发展改革委教育","应用于"
"捕集利","氢炼","开发者"
"捕集利","息化部国家发展改革委","开发者"
"捕集利","化部国家发展改革委","位于"
"捕集利","化部国家发展改革","合作伙伴"
"捕集利","碳捕集利用与","开发者"
"捕集利","监管总局生","应用于"
"捕集利","部国家发展改革委","包含"
"捕集利","前布局碳","开发者"
"CC","能源局工业","应用于"
"CC","业和","合作伙伴"
"CC","理中心、中国科","包含"
"CC","有CC","开发者"
"CC","能源局工业和","包含"
"CC","对于CC","合作伙伴"
"CC","于CC","开发者"
"业和","和信息化厅福建省发","开发者"
"业和","和信息化部、国","包含"
"二氧化碳捕集利用与封存等技术","国家发展改革委教育部","开发者"
"集利用","化部国家发展改革委教","合作伙伴"
"集利用","部国家发展改革委教","合作伙伴"
"集利用","炼化、二氧化碳捕集","合作伙伴"
"集利用","捕集利用","开发者"
"集利用","监管总局生","包含"
"集利用","局碳捕集利用","合作伙伴"
"集利用","局碳捕集","位于"
"集利用","化部国家发展改革委","应用于"
"集利用","部国家发展改革委","位于"
"集利用","炼化","位于"
"集利用","局碳捕","开发者"
"捕集利用","部国家发展改革委教","位于"
"捕集利用","化部国家发展改革委教","开发者"
"捕集利用","局碳捕集利用","应用于"
"利用","炼化、二氧化碳捕集","开发者"
"利用","集利用","包含"
"利用","捕集利用","应用于"
"利用","从技术发展与项目","应用于"
"利用","目前我国在部","开发者"
"利用","局碳捕集利用","包含"
"利用","局碳捕集","开发者"
"利用","炼化","应用于"
"利用","息化部国家发展改革委","包含"
"利用","我国在部","开发者"
"CUS","CU","包含"
"CUS"," CCUS 可支","应用于"
"CUS","c-zh0pd","应用于"
"CUS","油藏工程 ","应用于"
"CUS","油藏工程 方案","开发者"
"CUS","藏工程 ","开发者"
"CUS","藏工","开发者"
"国家发展改革委工业和信息化部","自然资源部","合作伙伴"
"持内蒙","建设 鄂","应用于"
"持内蒙","然资源部等","包含"
"家发展改革委工业","建设 鄂","合作伙伴"
"家发展改革委工业","然资源部等","包含"
"家发展改革委工业","部等","应用于"
"业和信息化部自","部等","应用于"
" 支","持内蒙","开发者"
"支持内","支持内蒙","合作伙伴"
"支持内蒙","持内蒙","应用于"
"齐二氧化碳资源","集 发电系统协同、","应用于"
"氧 化","加装碳捕集","合作伙伴"
"国家发展改革委国家能源局","国家数据局","合作伙伴"
"家发展改","源局国家","位于"
"家发展改革委国家","家发展改革委国","开发者"
"家发展改革委国家","发展改革委国家","合作伙伴"
"家发展改革委国","家能源局国","合作伙伴"
"掺烧、","发展改革委国家","应用于"
"发展改革委国家","发展改革委国家能","位于"
"发展改革委国家","展改革委国家","包含"
"发展改革委国","发展改革委国家","开发者"
"江苏省","工业和信息化厅江苏省","包含"
"江苏省","发展和改革委员会江苏省","包含"
"工业和信息化厅江苏省","发展和改革委员会江苏省","包含"
"山东省","科学技术厅山东省","包含"
"山东省","发展和改革委员会山东省","包含"
"山东省","行政区","包含"
"山东省","建设绿色低碳高质量发展先行区","包含"
"科学技术厅山东省","发展和改革委员会山东省","包含"
"学技术厅山东省发","和改","应用于"
"学技术厅山东省发展和","和改","应用于"
"省科","学技术厅山东省发","包含"
"省科","省科学技术厅山东省","合作伙伴"
"省科","科学技术厅山东省","开发者"
"捕集、生物能","省科","应用于"
"山西省","科学技术厅山西省","包含"
"山西省","发展和改革委员会山西省","包含"
"科学技术厅山西省","发展和改革委员会山西省","包含"
"学技术厅山西省发","展和改","包含"
"学技术厅山西省发","展和","应用于"
"西省科","展和","包含"
"展和","展和改","包含"
"展和","展和改革委员会山西省","包含"
"展和","和改革委员会山西省工","合作伙伴"
"能耗、大 ","和改革委员会山西省工","开发者"
"能耗、大 ","展和","开发者"
"，前瞻","和改革委员会山西省工","应用于"
"科学技","科学","开发者"
"科学技","科学技术厅山西省发展","应用于"
"科学技","科学技术计划的对","开发者"
"科学","科学技术厅山西省发展","开发者"
"科学","学技术厅山西省发展","包含"
"科学","集中 在减","位于"
"福建省","工业和信息化厅福建省","包含"
"福建省","发展和改革委员会福建省","包含"
"工业和信息化厅福建省","发展和改革委员会福建省","包含"
"业和信息化厅福建省发","展和","合作伙伴"
"业和信息化厅福建省发","展和改","包含"
"业和信息化厅福建省发","和改","包含"
"建省生","展和","开发者"
"建省生","展和改","应用于"
"省工业和","和信息化厅福建省发","开发者"
"省工业和","工业","包含"
"和信息化厅福建省发","和改革","开发者"
"和信息化厅福建省发","和改革委员会福建省生","合作伙伴"
"和信息化厅福建省发","和改","包含"
"省工","和信息化厅福建省发","包含"
"工业和","改革","应用于"
"工业和","工业","开发者"
"工业和信","改革","开发者"
"经济和信息化厅四川省","生态环境厅四川省","包含"
"加强建","强对重点项 目建","应用于"
"广东省","发展和改革委员会广东省","包含"
